"","bc","cc","ec"
"661237",958903,6.71477200638333e-09,1.44740684407015e-17
"661239",4958239,6.72285537012297e-09,0
"661244",2842824,7.03831569341039e-09,4.41550509843991e-17
"704766",1148210,7.99718197499119e-09,1.36926343610229e-17
"704778",3016542,6.55347700205382e-09,0
"704779",1912569,6.53797532707027e-09,2.00805260277511e-17
"704780",9723141,6.56471884047824e-09,1.0109886979964e-17
"704781",1953169,6.42483349618556e-09,0
"704782",24296800,6.50022847935145e-09,0
"704784",3217267,6.35520278884972e-09,0
"792952",876412,6.96946190476684e-09,0
"792953",290244,6.98960483768078e-09,0
"792954",341809,7.04341564228578e-09,2.58159620447048e-17
"792956",0,7.12844566151553e-09,5.00254892154559e-17
"792958",294908,7.17853349096408e-09,0
"792960",2535174,7.22147847042825e-09,1.11294220260309e-17
"792961",5183264,7.2742055275248e-09,1.81974014651128e-17
"792962",11372875,7.44714350812962e-09,3.09614082513021e-17
"792964",42570,7.03357267777671e-09,5.10618718194261e-17
"792967",203209,6.97631529374204e-09,0
"792968",202222,6.88069204604382e-09,2.13057949092762e-17
"792970",1915504,6.91997026087846e-09,0
"792971",904376,6.99390158151395e-09,0
"792972",2393219,7.00600066520665e-09,0
"792973",2446818,7.01330668164387e-09,2.16819079794831e-18
"792978",568444,6.87821157356913e-09,2.05966700212382e-17
"792980",2406275,6.98154127506848e-09,0
"792982",2494169,6.94558807699661e-09,0
"792983",4765399,6.96497525385402e-09,0
"792984",4739639,6.96760920838796e-09,0
"792985",2768938,6.76981838823508e-09,1.90229582589786e-17
"792986",868904,6.86162249212904e-09,4.84660674347381e-18
"792987",2236220,6.84583649164503e-09,7.35906844047356e-18
"792988",2301183,6.87706629968146e-09,1.03128565853109e-17
"792989",2649649,6.93050265731992e-09,4.19204453323708e-17
"792991",355166,6.87742418349831e-09,0
"1688996",902694,6.66489895347845e-09,9.42132607172632e-18
"1689006",1983894,6.79741985791625e-09,2.47744487332372e-17
"1689008",2216991,6.85923571330225e-09,4.38632066766124e-17
"1689010",272637,6.61386968535873e-09,0
"1689012",785451,6.75823597892942e-09,3.15453607442068e-17
"1689013",544197,6.73417414669895e-09,0
"1689016",943816,6.50724776136874e-09,2.63647277456268e-17
"1689027",285546,6.71541651717994e-09,6.84233518953684e-19
"1689029",3524246,6.71380276575694e-09,2.79078861541604e-17
"1689030",2044385,6.79492287731295e-09,4.04896598215363e-17
"1689033",2788864,6.73610886529661e-09,1.45741242572383e-17
"2035302",179936,8.60617470488063e-09,1.15642661119984e-10
"4616525",2889383,8.18834727514665e-09,1.33572205687172e-14
"4616526",2322,8.32496687355144e-09,1.34954358067537e-15
"4616528",34554,8.42772736749163e-09,8.75292227466601e-11
"4616532",595728,7.97325823808532e-09,0
"4616537",6228348,7.32829545171953e-09,9.05313135267471e-18
