"","u","v"
"1016","21648333","9081610823"
"1017","21648333","6194686158"
"1018","21648535","929488975"
"1019","21648537","21648349"
"1020","21648574","21648576"
"1021","21648575","929489009"
"1022","21648576","7744006066"
"1023","21648577","21648536"
"1024","21648725","1731214121"
"1025","21648733","1837044449"
"1026","21648747","6171131968"
"1027","21648918","21648931"
"1028","21648931","21649977"
"1029","21649682","21659624"
"1030","21649685","9780233103"
"1031","21649977","21649993"
"1032","21650018","21648013"
"1033","21657548","360932"
"1034","21657555","21657557"
"1035","21657556","21657555"
"1036","21657556","21658061"
"1037","21657557","21657552"
"1038","21657873","8112063384"
"1039","21657873","9825262626"
"1040","21658061","21657548"
"1041","21658186","21658444"
"1042","21658441","246263427"
"1043","21658442","21658443"
"1044","21658443","6992443076"
"1045","21658444","21658445"
"1046","21658445","21658446"
"1047","21658501","21658445"
"1048","21658502","21658501"
"1049","21658504","21658505"
"1050","21658505","21658511"
"1051","21658507","21658508"
"1052","21658508","21658509"
"1053","21658509","21658501"
"1054","21658510","3922027153"
"1055","21658511","21658510"
"1056","21658512","21658876"
"1057","21658875","21658512"
"1058","21658876","21658505"
"1059","21658877","21658878"
"1060","21658878","659902154"
"1061","21658911","5956435775"
"1062","21659155","2624145617"
"1063","21659155","1837044447"
"1064","21659158","21659159"
"1065","21659159","2624145619"
"1066","21659163","644143"
"1067","21659165","2620043309"
"1068","21659165","5956435775"
"1069","21659594","1820762940"
"1070","21659595","1820770939"
"1071","21659595","1820763076"
"1072","21659596","4225215503"
"1073","21659597","245399630"
"1074","21659621","287541859"
"1075","21659622","367584"
"1076","21659628","21659629"
"1077","21659630","21659628"
"1078","21659758","5652535525"
"1079","21659772","21659773"
"1080","21659773","21659759"
"1081","21659803","21659773"
"1082","21659818","17809589"
"1083","21659819","25034314"
"1084","21659819","21659818"
"1085","21659820","549792393"
"1086","21659821","21659820"
"1087","21659826","933275665"
"1088","21659826","21659876"
"1089","21659827","17809588"
"1090","21659950","270728325"
"1091","21659957","6370024973"
"1092","21660038","6370024895"
"1093","21660039","6370165392"
"1094","21660044","34816570"
"1095","21660045","6370024894"
"1096","21660107","5996498046"
"1097","21660107","260928395"
"1098","21660274","21660273"
"1099","21660278","21660279"
"1100","21660279","21660280"
"1101","21660280","6996510786"
"1102","21660281","661218"
"1103","21660312","6284856482"
"1104","21660332","21660340"
"1105","21660341","32560608"
"1106","21660389","6996510785"
"1107","21660458","583368069"
"1108","21660667","270678784"
"1109","21660667","21660340"
"1110","21660914","926957171"
"1111","21660914","926663229"
"1112","21660916","270727940"
"1113","21660924","926929640"
"1114","21660937","25624013"
"1115","21660937","25624012"
"1116","21660937","21660915"
"1117","21660944","926662894"
"1118","21660948","21660949"
"1119","21660950","21660949"
"1120","21660950","21660915"
"1121","21660964","926540811"
"1122","21660964","21660937"
"1123","21660967","1961531248"
"1124","21660967","1961531250"
"1125","21660969","269368412"
"1126","21660970","273415600"
"1127","21660972","269902607"
"1128","21660972","269368021"
"1129","21660973","27235707"
"1130","21660974","21660973"
"1131","21660974","27235497"
"1132","21660975","27235497"
"1133","21660976","21660975"
"1134","21660986","21292975"
"1135","21661003","1549569384"
"1136","21661003","838533110"
"1137","21661060","2698142546"
"1138","21661061","21661018"
"1139","21661080","259681779"
"1140","21661082","31960431"
"1141","21663167","8521961057"
"1142","21663167","3324889618"
"1143","21663172","6869909346"
"1144","21663174","27336542"
"1145","21663181","938706513"
"1146","21663184","8894513383"
"1147","21663253","2499713072"
"1148","21663255","357495371"
"1149","21732939","530229211"
"1150","21732941","21733264"
"1151","21732941","21732939"
"1152","21732943","21732944"
"1153","21732944","21732945"
"1154","21732945","21732946"
"1155","21732947","21733264"
"1156","21732948","21732950"
"1157","21732950","235012962"
"1158","21732950","21732951"
"1159","21732951","96143370"
"1160","21732953","21732954"
"1161","21732954","21732955"
